Company,Ticker,Price,Beta
"AMBAC FINANCIAL GROUP, INC. (XNYS:AMBC)",AMBC,$8.80 ,0.98
Ardagh Metal Packaging SA (XNYS:AMBP),AMBP,$3.62 ,0.56
"AMC ENTERTAINMENT HOLDINGS, INC. (XNYS:AMC)",AMC,$2.81 ,1.3
Amcor plc (XNYS:AMCR),AMCR,$8.32 ,0.73
AMC NETWORKS INC. (XNAS:AMCX),AMCX,$7.58 ,1.44
"ADVANCED MICRO DEVICES, INC. (XNAS:AMD)",AMD,$156.07 ,1.91
"AMETEK, INC. (XNYS:AME)",AME,$190.27 ,1.11
"AFFILIATED MANAGERS GROUP, INC. (XNYS:AMG)",AMG,$235.67 ,1.21
AMGEN INC. (XNAS:AMGN),AMGN,$280.37 ,0.49
AMERICAN HOMES 4 RENT (XNYS:AMH),AMH,$34.34 ,0.77
"AMKOR TECHNOLOGY, INC. (XNAS:AMKR)",AMKR,$25.05 ,1.96
"AMN HEALTHCARE SERVICES, INC. (XNYS:AMN)",AMN,$18.74 ,0.16
"AMERIPRISE FINANCIAL, INC. (XNYS:AMP)",AMP,$498.69 ,1.28
AMPHASTAR PHARMACEUTICALS INC (XNAS:AMPH),AMPH,$28.76 ,0.78
"AMPLITUDE, INC. (XNAS:AMPL)",AMPL,$11.26 ,1.54
"ALPHA METALLURGICAL RESOURCES, INC. (XNYS:AMR)",AMR,$142.50 ,0.94
"AMERESCO, INC. (XNYS:AMRC)",AMRC,$28.03 ,2.29
"A-MARK PRECIOUS METALS, INC. (XNAS:AMRK)",AMRK,$25.00 ,0.36
"AMNEAL PHARMACEUTICALS, INC. (XNAS:AMRX)",AMRX,$10.32 ,1.18
AMERICAN SUPERCONDUCTOR CORPORATION (XNAS:AMSC),AMSC,$54.74 ,3
"AMERISAFE, INC (XNAS:AMSF)",AMSF,$45.41 ,0.34
AMERICAN TOWER CORPORATION (XNYS:AMT),AMT,$194.37 ,0.88
AMERANT BANCORP INC. (XNYS:AMTB),AMTB,$21.13 ,1.32
"AMENTUM HOLDINGS, INC. (XNYS:AMTM)",AMTM,$23.67 ,1.18
AMERICAN WOODMARK CORPORATION (XNAS:AMWD),AMWD,$67.29 ,1.19
"AMAZON.COM, INC. (XNAS:AMZN)",AMZN,$231.05 ,1.3
"AUTONATION, INC. (XNYS:AN)",AN,$227.60 ,0.87
"ANAPTYSBIO, INC. (XNAS:ANAB)",ANAB,$23.11 ,-0.26
"THE ANDERSONS, INC (XNAS:ANDE)",ANDE,$40.17 ,0.72
"ARISTA NETWORKS, INC. (XNYS:ANET)",ANET,$153.40 ,1.48
ABERCROMBIE & FITCH CO. (XNYS:ANF),ANF,$94.33 ,1.47
ANGI INC. (XNAS:ANGI),ANGI,$17.65 ,1.77
"ANGIODYNAMICS, INC. (XNAS:ANGO)",ANGO,$10.73 ,0.77
"ANIKA THERAPEUTICS, INC. (XNAS:ANIK)",ANIK,$8.52 ,0.62
"ANI PHARMACEUTICALS, INC. (XNAS:ANIP)",ANIP,$97.40 ,0.59
"ANNEXON, INC. (XNAS:ANNX)",ANNX,$2.58 ,1.28
AON PUBLIC LIMITED COMPANY (XNYS:AON),AON,$370.15 ,0.9
"ARTIVION, INC. (XNYS:AORT)",AORT,$41.76 ,1.69
A. O. SMITH CORPORATION (XNYS:AOS),AOS,$74.12 ,1.3
ALPHA AND OMEGA SEMICONDUCTOR LIMITED (XNAS:AOSL),AOSL,$29.07 ,2.12
APA CORPORATION (XNAS:APA),APA,$22.85 ,1.17
ARTISAN PARTNERS ASSET MANAGEMENT INC. (XNYS:APAM),APAM,$47.29 ,1.71
"AIR PRODUCTS AND CHEMICALS, INC. (XNYS:APD)",APD,$292.43 ,0.86
API GROUP CORPORATION (XNYS:APG),APG,$35.70 ,1.64
"APOGEE THERAPEUTICS, INC. (XNAS:APGE)",APGE,$37.34 ,1.66
AMPHENOL CORPORATION (XNYS:APH),APH,$120.15 ,1.16
APPLIED DIGITAL CORPORATION (XNAS:APLD),APLD,$17.88 ,6.59
"Apple Hospitality REIT, Inc. (XNYS:APLE)",APLE,$12.65 ,1.05
"APELLIS PHARMACEUTICALS, INC. (XNAS:APLS)",APLS,$25.15 ,0.72
